gene_name	gene_biotype	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
Gene_0048	protein_coding	1603	1006	1720	2357	1101	676
Gene_0049	pseudogene	2952	1923	2262	2002	1128	2386
Gene_0050	protein_coding	982	2278	1249	1236	914	2301
Gene_0051	protein_coding	786	444	598	1346	230	873
Gene_0052	protein_coding	3265	1627	1602	3277	2264	1326
Gene_0053	protein_coding	525	600	464	475	362	650
Gene_0054	lncRNA	1857	1095	1711	5698	3164	2885
Gene_0055	protein_coding	116	226	341	298	79	77
Gene_0056	protein_coding	5	688	194	908	592	346
Gene_0057	protein_coding	2264	1011	2012	1340	1132	2168
Gene_0058	protein_coding	43	9	336	1724	1305	839
Gene_0059	protein_coding	1237	623	1451	1216	606	540
Gene_0060	protein_coding	520	1600	423	360	1344	312
Gene_0061	protein_coding	674	322	211	277	728	1027
Gene_0062	pseudogene	2731	1657	2904	1693	910	1989
Gene_0063	lncRNA	917	632	787	819	1769	1060
Gene_0064	protein_coding	430	777	709	1569	270	927
Gene_0065	lncRNA	380	131	1051	1060	315	320
Gene_0066	protein_coding	301	73	559	596	878	279
Gene_0067	protein_coding	98	530	400	140	343	188
Gene_0068	lncRNA	1535	2157	1096	911	888	1916
Gene_0069	protein_coding	930	770	1535	568	700	335
Gene_0070	protein_coding	628	1102	1397	447	734	802
Gene_0071	protein_coding	453	33	388	247	346	118
Gene_0072	protein_coding	349	997	604	931	261	533
Gene_0073	protein_coding	200	1422	263	886	400	725
Gene_0074	protein_coding	1084	721	1052	1137	807	451
Gene_0075	protein_coding	2523	1224	1158	349	476	2068
Gene_0076	protein_coding	86	292	60	124	195	80
Gene_0077	protein_coding	907	669	600	647	811	685
Gene_0078	protein_coding	196	207	289	162	311	266
Gene_0079	protein_coding	176	338	155	186	309	232
Gene_0080	protein_coding	319	281	894	532	824	721
Gene_0081	protein_coding	1040	1521	1188	871	1389	1503
Gene_0082	protein_coding	1134	1221	1348	972	1155	1160
Gene_0083	protein_coding	846	687	694	736	303	255
Gene_0084	protein_coding	2788	1121	1689	1156	692	1884
Gene_0085	lncRNA	4142	3050	4912	2080	2684	3036
Gene_0086	protein_coding	2262	609	899	939	1179	1266
Gene_0087	protein_coding	2669	1646	281	343	848	88
Gene_0088	protein_coding	456	515	436	573	648	466
Gene_0089	protein_coding	0	0	0	0	1	0
Gene_0090	protein_coding	391	358	363	461	396	284
Gene_0091	protein_coding	195	1021	1065	1439	440	414
Gene_0092	protein_coding	65	345	128	129	212	288
Gene_0093	protein_coding	780	315	5760	2956	2550	1149
Gene_0094	pseudogene	833	1024	5271	2205	1586	393
Gene_0095	pseudogene	2006	1088	999	888	495	1000
Gene_0096	protein_coding	1244	172	1051	1575	1237	764
Gene_0097	protein_coding	3762	5904	2295	350	1139	3218
Gene_0098	protein_coding	1829	760	1568	987	1609	2590
Gene_0099	protein_coding	502	646	1167	340	231	168
Gene_0100	protein_coding	1343	500	351	774	657	413
Gene_0101	protein_coding	642	237	298	671	230	206
Gene_0102	protein_coding	544	217	383	706	630	592
Gene_0103	protein_coding	170	455	462	186	141	381
Gene_0104	protein_coding	135	52	256	146	1245	1062
Gene_0105	pseudogene	877	791	1046	1861	608	1074
Gene_0106	pseudogene	1320	374	3671	812	1849	1764
Gene_0107	protein_coding	1195	930	532	610	430	1040
Gene_0108	protein_coding	87	86	193	84	54	121
Gene_0109	protein_coding	303	139	212	81	382	618
Gene_0110	protein_coding	1395	1209	2131	805	1710	1325
Gene_0111	protein_coding	63	171	83	112	68	79
Gene_0112	lncRNA	561	421	126	216	252	239
Gene_0113	lncRNA	906	770	908	694	920	712
Gene_0114	protein_coding	202	87	322	429	255	197
Gene_0115	protein_coding	295	621	348	642	660	492
Gene_0116	protein_coding	1442	439	1324	650	1229	647
Gene_0117	protein_coding	110	123	39	65	77	67
Gene_0118	protein_coding	735	454	626	414	920	1268
Gene_0119	protein_coding	275	191	286	8	172	113
Gene_0120	lncRNA	323	435	174	418	58	62
Gene_0121	protein_coding	1651	739	653	640	1009	1760
Gene_0122	protein_coding	927	716	194	615	1431	731
Gene_0123	protein_coding	505	344	397	735	1500	152
Gene_0124	protein_coding	772	508	888	1238	662	1131
Gene_0125	protein_coding	814	222	264	443	488	141
Gene_0126	protein_coding	1942	1640	858	854	2249	2744
Gene_0127	pseudogene	1183	1094	649	281	198	353
Gene_0128	pseudogene	432	890	1190	951	944	927
Gene_0129	protein_coding	2953	1446	1050	2243	1149	737
Gene_0130	protein_coding	1193	1454	724	488	1185	1806
Gene_0131	pseudogene	275	596	669	1109	307	475
Gene_0132	protein_coding	877	1185	3007	1587	1948	1263
Gene_0133	protein_coding	288	1363	368	913	590	554
Gene_0134	pseudogene	156	143	118	166	143	133
Gene_0135	lncRNA	703	1001	359	152	116	382
Gene_0136	protein_coding	2245	2814	1638	1281	1310	1521
Gene_0137	lncRNA	1946	1134	1602	2552	1765	1491
Gene_0138	protein_coding	1086	498	1080	1483	614	595
Gene_0139	lncRNA	94	239	866	717	124	439
Gene_0140	protein_coding	499	1088	817	914	1557	356
Gene_0141	protein_coding	210	173	56	339	292	140
Gene_0142	protein_coding	652	3327	2659	2631	1023	857
Gene_0143	protein_coding	100	1336	2515	1028	3486	1108
Gene_0144	lncRNA	435	1043	307	249	518	791
Gene_0145	protein_coding	821	1337	726	544	3122	615
Gene_0146	lncRNA	208	688	1022	433	905	390
Gene_0147	protein_coding	200	203	57	145	167	111
Gene_0148	pseudogene	3884	1459	3487	4341	3706	1198
Gene_0149	protein_coding	34	1779	372	345	598	495
Gene_0150	protein_coding	2796	2562	2777	2032	2344	2080
Gene_0151	protein_coding	519	475	327	99	429	698
Gene_0152	protein_coding	879	1414	809	1013	502	406
Gene_0153	lncRNA	981	682	852	355	395	539
Gene_0154	protein_coding	435	872	781	1358	889	924
Gene_0155	protein_coding	612	1027	219	907	1287	460
Gene_0156	lncRNA	374	1190	363	125	369	405
Gene_0157	protein_coding	866	1612	438	797	611	284
Gene_0158	protein_coding	113	123	138	173	97	225
Gene_0159	protein_coding	1205	396	477	572	176	1418
Gene_0160	protein_coding	364	367	404	532	446	505
Gene_0161	pseudogene	325	735	654	635	1519	290
Gene_0162	protein_coding	359	2105	8364	4273	19503	23
Gene_0163	protein_coding	910	187	603	509	478	585
Gene_0164	protein_coding	387	2092	1489	1819	57	91
Gene_0165	protein_coding	1664	604	2165	95	340	5253
Gene_0166	protein_coding	427	841	937	445	1028	971
Gene_0167	protein_coding	798	455	459	378	594	850
Gene_0168	protein_coding	120	345	496	563	238	147
Gene_0169	protein_coding	493	479	330	3696	1344	848
Gene_0170	protein_coding	2363	3806	1447	2796	3228	1142
Gene_0171	protein_coding	122	208	127	120	168	101
Gene_0172	protein_coding	1829	712	886	889	1388	854
Gene_0173	protein_coding	320	28	286	102	401	170
Gene_0174	protein_coding	473	987	241	181	385	454
Gene_0175	protein_coding	311	396	466	1601	1101	1844
Gene_0176	protein_coding	476	446	565	950	663	710
Gene_0177	lncRNA	408	197	278	277	134	121
Gene_0178	protein_coding	561	407	1051	1631	461	847
Gene_0179	lncRNA	528	271	983	769	652	170
Gene_0180	lncRNA	1613	1944	836	1063	1848	2104
Gene_0181	pseudogene	720	777	419	220	281	5
Gene_0182	lncRNA	563	882	3151	1705	1520	514
Gene_0183	protein_coding	354	537	179	485	315	354
Gene_0184	protein_coding	817	441	2320	1549	338	2408
Gene_0185	protein_coding	913	372	786	749	372	173
Gene_0186	protein_coding	1811	1545	5998	5996	2767	263
Gene_0187	pseudogene	426	221	411	180	264	262
Gene_0188	lncRNA	782	465	480	1942	777	808
Gene_0189	protein_coding	1662	1181	1346	845	1506	1862
Gene_0190	protein_coding	1487	986	1915	548	916	2410
Gene_0191	protein_coding	4584	89	1921	134	406	1326
Gene_0192	lncRNA	412	234	126	573	265	310
Gene_0193	protein_coding	638	1033	523	487	209	519
Gene_0194	protein_coding	1853	1233	431	2209	1302	1364
Gene_0195	protein_coding	963	1341	1497	588	678	535
Gene_0196	protein_coding	1750	677	982	1311	2416	1215
Gene_0197	protein_coding	153	59	52	112	106	182
Gene_0198	protein_coding	132	6	31	493	11	455
Gene_0199	protein_coding	2522	553	2477	1712	110	5352
Gene_0200	protein_coding	1860	2075	1749	1709	2395	1048
Gene_0201	lncRNA	132	315	234	615	836	975
Gene_0202	protein_coding	2648	1486	1375	1684	698	1785
Gene_0203	lncRNA	148	372	122	1502	441	249
Gene_0204	protein_coding	261	339	378	157	268	65
Gene_0205	protein_coding	1385	576	205	1122	260	1874
Gene_0206	protein_coding	1077	640	3533	1817	486	695
Gene_0207	pseudogene	1558	5137	115	1915	251	2368
Gene_0208	protein_coding	198	87	389	189	285	80
Gene_0209	protein_coding	384	442	186	411	378	304
Gene_0210	protein_coding	200	258	276	251	430	1340
Gene_0211	protein_coding	542	25	540	1023	761	561
Gene_0212	protein_coding	33	39	91	88	44	177
Gene_0213	protein_coding	534	1467	915	1196	3056	765
Gene_0214	protein_coding	616	196	550	447	3	369
Gene_0215	protein_coding	251	774	2792	1369	1018	722
Gene_0216	lncRNA	666	520	474	947	1962	2418
Gene_0217	protein_coding	446	570	356	686	463	477
Gene_0218	protein_coding	1440	281	2283	2046	1345	3883
Gene_0219	protein_coding	0	16	0	1272	0	18372
Gene_0220	lncRNA	154	1129	1195	1202	2208	1288
Gene_0221	protein_coding	475	166	87	728	347	679
Gene_0222	protein_coding	614	414	445	528	733	973
Gene_0223	protein_coding	334	55	172	356	1740	650
Gene_0224	pseudogene	1294	1208	561	1089	739	1104
Gene_0225	protein_coding	2196	1843	2076	4543	4736	4093
Gene_0226	lncRNA	4404	2380	5208	4446	3389	1839
Gene_0227	protein_coding	290	379	2	397	353	18
Gene_0228	protein_coding	2112	24	1587	5099	2378	347
Gene_0229	protein_coding	45	113	280	0	612	30
Gene_0230	protein_coding	164	135	1371	2122	2318	2318
Gene_0231	protein_coding	67	796	1010	435	180	169
Gene_0232	protein_coding	72	340	257	194	231	85
Gene_0233	protein_coding	128	206	168	155	43	141
Gene_0234	protein_coding	252	658	953	171	346	530
Gene_0235	pseudogene	646	1394	1285	1457	1096	766
Gene_0236	lncRNA	789	1463	1389	902	738	729
Gene_0237	protein_coding	1612	1307	3481	1811	1386	1963
Gene_0238	lncRNA	1066	2618	4270	361	1239	2889
Gene_0239	protein_coding	2308	1401	7737	6996	4254	1337
Gene_0240	protein_coding	793	1031	898	946	1158	1442
Gene_0241	protein_coding	923	772	519	291	605	550
Gene_0242	protein_coding	9	1494	0	231	326	0
Gene_0243	protein_coding	402	989	2632	558	191	326
Gene_0244	protein_coding	163	133	209	76	333	339
Gene_0245	protein_coding	162	471	194	757	711	320
Gene_0246	protein_coding	5503	2922	138	1866	285	4236
Gene_0247	protein_coding	1204	2216	1362	440	1152	1050
Gene_0248	protein_coding	660	1257	1441	1149	1135	1072
Gene_0249	protein_coding	366	204	248	384	272	714
Gene_0250	pseudogene	951	1720	960	1249	593	622
Gene_0251	protein_coding	1208	141	751	882	306	295
Gene_0252	protein_coding	1778	1017	4027	497	31	276
Gene_0253	protein_coding	724	1348	1069	806	823	1910
Gene_0254	protein_coding	1540	1660	1327	1822	1559	1717
Gene_0255	protein_coding	1965	1926	23	85	722	559
Gene_0256	lncRNA	1109	1187	1469	1690	1668	1139
Gene_0257	protein_coding	1953	1892	1290	2009	817	2135
Gene_0258	protein_coding	503	92	2339	649	1424	35
Gene_0259	protein_coding	1543	4506	1998	1140	1245	2887
Gene_0260	protein_coding	917	595	7	1313	2136	237
Gene_0261	protein_coding	1087	2064	1276	798	1148	1345
Gene_0262	protein_coding	225	299	467	643	149	35
Gene_0263	protein_coding	4047	3975	2027	2744	2116	2723
Gene_0264	pseudogene	939	1053	604	555	614	1044
Gene_0265	protein_coding	1178	1568	1261	1436	1346	1936
Gene_0266	protein_coding	576	505	789	829	552	336
Gene_0267	lncRNA	315	18	899	70	9889	1
Gene_0268	protein_coding	6806	2275	1394	824	4666	7899
Gene_0269	pseudogene	449	22	125	96	23	33
Gene_0270	lncRNA	1125	652	928	1242	1989	1195
Gene_0271	protein_coding	832	1377	1144	1372	4600	1733
Gene_0272	lncRNA	32	571	201	58	37	67
Gene_0273	protein_coding	661	796	1605	460	711	957
Gene_0274	protein_coding	893	2003	522	765	601	1961
Gene_0275	lncRNA	327	603	312	299	324	863
Gene_0276	protein_coding	2907	1110	1418	3296	1802	2460
Gene_0277	protein_coding	1856	1851	1732	567	2309	1171
Gene_0278	protein_coding	993	633	1539	1919	2815	1270
Gene_0279	protein_coding	801	879	894	1413	1428	773
Gene_0280	protein_coding	375	259	251	516	185	437
Gene_0281	protein_coding	1190	1756	2864	3428	647	2172
Gene_0282	protein_coding	2450	336	1996	1237	1000	934
Gene_0283	protein_coding	360	586	1442	1761	2872	1058
Gene_0284	pseudogene	176	166	518	417	251	175
Gene_0285	protein_coding	4038	2848	3113	643	2141	1089
Gene_0286	protein_coding	609	630	465	387	878	1260
Gene_0287	protein_coding	444	706	618	998	646	622
Gene_0288	protein_coding	495	107	360	493	619	2240
Gene_0289	protein_coding	278	603	479	169	554	806
Gene_0290	protein_coding	1122	190	1922	735	663	690
Gene_0291	lncRNA	1381	3058	5573	2956	1215	1215
Gene_0292	protein_coding	619	889	748	384	457	88
Gene_0293	protein_coding	1239	834	1192	1461	2740	2903
Gene_0294	protein_coding	424	448	608	433	491	543
Gene_0295	protein_coding	1535	836	928	1675	1812	1756
Gene_0296	protein_coding	595	471	355	595	954	421
Gene_0297	lncRNA	923	553	600	561	475	738
Gene_0298	protein_coding	360	545	378	161	263	432
Gene_0299	protein_coding	2014	208	34	4946	7	1915
Gene_0300	protein_coding	2159	429	764	2514	255	1498
Gene_0301	protein_coding	526	930	1242	113	123	157
Gene_0302	protein_coding	487	671	1007	368	2567	1168
Gene_0303	protein_coding	164	78	27	93	59	40
Gene_0304	protein_coding	533	392	444	449	438	381
Gene_0305	lncRNA	786	408	94	347	67	303
Gene_0306	pseudogene	199	1572	1868	434	1583	3415
Gene_0307	protein_coding	675	298	1222	928	644	670
Gene_0308	protein_coding	386	183	236	111	317	269
Gene_0309	protein_coding	3157	4459	1245	3172	2955	2473
Gene_0310	protein_coding	95	383	54	149	454	125
Gene_0311	protein_coding	963	60	2627	2262	773	908
Gene_0312	pseudogene	1428	1857	297	733	952	841
Gene_0313	protein_coding	482	1063	1031	1051	813	1031
Gene_0314	protein_coding	450	118	134	511	21	45
Gene_0315	protein_coding	229	374	446	407	271	154
Gene_0316	pseudogene	1	4	387	62	11	420
Gene_0317	protein_coding	105	68	2	0	261	91
Gene_0318	protein_coding	409	1374	746	580	703	346
Gene_0319	pseudogene	355	1005	560	741	600	282
Gene_0320	pseudogene	1027	966	699	1238	274	887
Gene_0321	protein_coding	343	1117	611	2924	620	953
Gene_0322	protein_coding	611	996	836	1215	529	828
Gene_0323	protein_coding	368	757	1036	639	724	770
Gene_0324	protein_coding	1725	2586	2416	3281	2888	2399
Gene_0325	protein_coding	230	278	281	220	256	164
Gene_0326	pseudogene	2825	6220	1343	7518	3360	4911
Gene_0327	protein_coding	140	1129	460	936	481	35
Gene_0328	lncRNA	591	419	260	450	325	503
Gene_0329	protein_coding	1660	2460	1521	1479	1101	1321
Gene_0330	lncRNA	512	901	1073	808	809	495
Gene_0331	pseudogene	1087	2120	1234	2819	1346	828
Gene_0332	protein_coding	887	1731	1485	1335	322	792
Gene_0333	protein_coding	462	1453	649	1259	386	703
Gene_0334	protein_coding	835	1717	1216	542	584	780
Gene_0335	protein_coding	529	23	454	544	53	623
Gene_0336	protein_coding	97	408	344	372	449	169
Gene_0337	protein_coding	1376	751	410	564	892	398
Gene_0338	protein_coding	350	410	418	583	678	259
Gene_0339	lncRNA	1239	1907	1200	922	670	382
Gene_0340	protein_coding	218	847	343	76	385	2783
Gene_0341	protein_coding	335	53	53	5	34	81
Gene_0342	protein_coding	674	583	1389	162	181	1042
Gene_0343	lncRNA	2952	5055	2531	4003	4235	6071
Gene_0344	protein_coding	164	191	244	165	351	203
Gene_0345	protein_coding	105	205	483	98	697	263
Gene_0346	protein_coding	328	524	1035	834	176	81
Gene_0347	pseudogene	790	253	435	2005	389	1113
Gene_0348	protein_coding	2120	1367	1015	1267	524	616
Gene_0349	lncRNA	488	475	428	605	450	589
Gene_0350	pseudogene	104	116	907	404	101	490
Gene_0351	protein_coding	1179	680	332	211	1347	449
Gene_0352	protein_coding	540	1333	423	1055	665	988
Gene_0353	protein_coding	5011	606	642	448	692	1123
Gene_0354	protein_coding	769	1278	904	1172	1010	1890
Gene_0355	protein_coding	229	257	591	245	93	63
Gene_0356	protein_coding	192	282	367	432	192	678
Gene_0357	protein_coding	1912	789	1151	2457	3345	2307
Gene_0358	pseudogene	569	794	323	1235	47	2864
Gene_0359	protein_coding	296	472	332	235	31	175
Gene_0360	protein_coding	729	555	390	721	261	572
Gene_0361	protein_coding	293	1169	970	663	576	1756
Gene_0362	protein_coding	206	354	668	649	781	620
Gene_0363	protein_coding	187	288	576	319	823	472
Gene_0364	pseudogene	173	1717	1040	415	612	293
Gene_0365	protein_coding	104	520	394	2371	71	2256
Gene_0366	protein_coding	591	274	323	625	831	692
Gene_0367	protein_coding	117	518	936	936	700	324
Gene_0368	pseudogene	1417	395	582	2349	186	799
Gene_0369	protein_coding	1641	1916	964	2713	2067	2137
Gene_0370	protein_coding	1467	665	517	265	152	112
Gene_0371	protein_coding	248	221	57	17	26	70
Gene_0372	protein_coding	572	694	257	481	570	378
Gene_0373	lncRNA	1035	1870	706	429	1432	386
Gene_0374	protein_coding	807	1617	1796	1000	1152	1559
Gene_0375	protein_coding	2237	2852	2438	2341	2898	859
Gene_0376	pseudogene	64	326	204	258	68	149
Gene_0377	protein_coding	710	980	455	980	548	819
Gene_0378	protein_coding	1509	96	992	6	129	235
Gene_0379	protein_coding	244	296	290	254	382	277
Gene_0380	lncRNA	601	836	813	1173	958	1029
Gene_0381	protein_coding	1064	963	1042	354	316	206
Gene_0382	protein_coding	545	1537	217	800	615	1148
Gene_0383	protein_coding	554	1871	673	535	212	1161
Gene_0384	protein_coding	910	742	280	818	516	245
Gene_0385	protein_coding	992	1292	989	1414	854	1347
Gene_0386	lncRNA	449	249	371	117	77	135
Gene_0387	protein_coding	445	479	891	120	204	273
Gene_0388	pseudogene	752	1168	734	321	389	849
Gene_0389	protein_coding	235	570	258	292	348	355
Gene_0390	protein_coding	16	42	25	129	505	721
Gene_0391	lncRNA	1	395	22	86	197	1187
Gene_0392	protein_coding	400	1606	702	772	1790	1175
Gene_0393	protein_coding	9	1211	55	456	509	1040
Gene_0394	protein_coding	191	371	297	758	480	254
Gene_0395	protein_coding	117	182	207	231	38	125
Gene_0396	protein_coding	207	194	505	190	566	356
Gene_0397	pseudogene	451	496	448	371	669	292
Gene_0398	pseudogene	3931	3293	2150	139	4075	7200
Gene_0399	protein_coding	506	644	1242	89	145	294
Gene_0400	protein_coding	292	144	133	358	39	254
Gene_0401	protein_coding	2674	1648	2448	5232	2492	1608
Gene_0402	protein_coding	2256	2091	1831	1052	1334	2485
Gene_0403	protein_coding	1142	511	1774	459	582	1162
Gene_0404	protein_coding	1753	2126	268	2741	2329	1127
Gene_0405	lncRNA	1758	420	2088	2948	1543	1203
Gene_0406	protein_coding	51	210	447	93	204	614
Gene_0407	pseudogene	891	3142	339	1266	618	2871
Gene_0408	protein_coding	7	13	64	21	12	24
Gene_0409	protein_coding	427	886	255	1647	1064	188
Gene_0410	protein_coding	549	459	487	391	436	279
Gene_0411	protein_coding	32	330	647	194	13	209
Gene_0412	protein_coding	3703	1211	3057	1292	1781	3333
Gene_0413	protein_coding	571	1608	353	1085	616	717
Gene_0414	protein_coding	1027	575	428	2502	1038	1364
Gene_0415	protein_coding	3786	2670	301	841	2297	766
Gene_0416	protein_coding	401	433	477	1042	893	982
Gene_0417	protein_coding	212	86	31	56	115	102
Gene_0418	lncRNA	266	524	995	632	1098	314
Gene_0419	protein_coding	551	504	662	248	638	234
Gene_0420	protein_coding	1455	770	1111	1884	514	159
Gene_0421	protein_coding	265	2992	1260	315	1109	1612
Gene_0422	protein_coding	564	2121	513	273	321	420
Gene_0423	pseudogene	1683	3469	1287	8128	3160	617
Gene_0424	lncRNA	1030	2454	2239	637	1528	1020
Gene_0425	protein_coding	50	660	86	119	1152	939
Gene_0426	protein_coding	25	18	13	20	35	15
Gene_0427	protein_coding	187	263	273	274	140	195
Gene_0428	protein_coding	919	1586	1472	1918	940	4111
Gene_0429	protein_coding	19	307	20214	309	5603	7
Gene_0430	protein_coding	677	1053	564	422	1672	944
Gene_0431	protein_coding	115	465	139	8	92	30
Gene_0432	protein_coding	2670	1626	1684	921	3976	733
Gene_0433	protein_coding	2337	4082	2458	2741	3312	2398
Gene_0434	protein_coding	2109	1444	622	3555	2148	4915
Gene_0435	pseudogene	826	685	876	1659	3109	349
Gene_0436	protein_coding	856	1421	1046	1847	1448	999
Gene_0437	protein_coding	0	285	95	5	76	96
Gene_0438	protein_coding	773	1559	502	750	271	1286
Gene_0439	protein_coding	501	375	327	346	680	134
Gene_0440	protein_coding	1345	1478	750	5556	1757	4081
Gene_0441	protein_coding	275	194	141	147	147	119
Gene_0442	pseudogene	688	313	867	419	367	956
Gene_0443	protein_coding	332	1914	578	1163	992	786
Gene_0444	lncRNA	331	419	528	782	1433	852
Gene_0445	protein_coding	594	1042	382	418	1480	1241
Gene_0446	protein_coding	245	685	584	691	594	478
Gene_0447	protein_coding	1181	1517	0	0	51	0
Gene_0448	lncRNA	842	1512	807	442	770	770
Gene_0449	protein_coding	607	1011	1820	1541	2051	1248
Gene_0450	protein_coding	455	992	857	1530	657	910
Gene_0451	protein_coding	1811	809	4693	899	4505	59
Gene_0452	protein_coding	758	602	626	1088	301	1217
Gene_0453	protein_coding	613	1019	757	768	549	293
Gene_0454	protein_coding	848	1042	835	5227	308	663
Gene_0455	protein_coding	704	656	1283	1147	627	1600
Gene_0456	protein_coding	360	916	634	772	287	385
Gene_0457	protein_coding	1037	472	83	146	651	361
Gene_0458	protein_coding	823	1215	817	859	61	1208
Gene_0459	lncRNA	1330	2036	2938	697	1626	1609
Gene_0460	lncRNA	573	516	639	623	662	552
Gene_0461	protein_coding	898	299	291	500	271	451
Gene_0462	protein_coding	1254	1712	1255	1403	2559	611
Gene_0463	lncRNA	609	515	254	60	302	292
Gene_0464	protein_coding	1141	527	3261	1914	816	2152
Gene_0465	protein_coding	5	300	162	3115	20	216
Gene_0466	protein_coding	3323	1533	4390	2235	3105	1204
Gene_0467	protein_coding	833	968	1361	1149	272	1571
Gene_0468	protein_coding	1253	1329	1314	1042	3744	2789
Gene_0469	protein_coding	4125	4599	2964	6661	4170	4576
Gene_0470	lncRNA	24	149	151	25	48	173
Gene_0471	protein_coding	94	248	134	434	235	552
Gene_0472	protein_coding	388	1018	2727	804	840	547
Gene_0473	pseudogene	176	921	2328	4069	1515	112
Gene_0474	pseudogene	489	843	268	346	937	1428
Gene_0475	protein_coding	299	332	141	157	184	248
Gene_0476	protein_coding	99	2097	322	103	1247	646
Gene_0477	protein_coding	980	284	516	3245	2086	1243
Gene_0478	pseudogene	622	444	493	778	725	378
Gene_0479	protein_coding	718	562	174	242	448	511
Gene_0480	lncRNA	628	510	1190	880	1183	238
Gene_0481	protein_coding	1072	572	1305	273	1001	842
Gene_0482	protein_coding	513	743	80	232	440	677
Gene_0483	lncRNA	676	886	4862	531	2214	1315
Gene_0484	protein_coding	1335	953	501	1371	717	459
Gene_0485	lncRNA	903	2558	419	986	904	1438
Gene_0486	protein_coding	291	0	675	17	680	0
Gene_0487	lncRNA	1818	2077	3118	7397	7178	12860
Gene_0488	protein_coding	78	110	266	98	140	121
Gene_0489	protein_coding	147	229	52	173	464	306
Gene_0490	protein_coding	238	193	609	778	614	478
Gene_0491	pseudogene	430	171	568	415	254	686
Gene_0492	protein_coding	1645	748	6085	3759	14	1201
Gene_0493	lncRNA	308	615	303	406	86	301
Gene_0494	protein_coding	94	247	497	217	137	687
Gene_0495	protein_coding	1219	946	796	1703	867	1296
Gene_0496	protein_coding	702	322	880	386	1128	826
Gene_0497	lncRNA	724	661	821	811	735	1258
Gene_0498	protein_coding	1907	1748	2180	302	807	1437
Gene_0499	protein_coding	1197	2299	779	1410	623	895
Gene_0500	protein_coding	531	1039	651	436	656	677
Gene_0501	protein_coding	83	997	523	476	229	501
Gene_0502	protein_coding	375	812	1750	840	1540	698
Gene_0503	protein_coding	620	558	358	247	257	160
Gene_0504	lncRNA	397	56	747	88	734	408
Gene_0505	protein_coding	2993	2470	2356	1713	1585	1535
Gene_0506	lncRNA	1181	2310	484	6097	3696	2525
Gene_0507	protein_coding	2689	5607	3283	3336	3234	1925
Gene_0508	protein_coding	749	626	517	777	786	43
Gene_0509	pseudogene	950	2201	1168	1566	1262	1561
Gene_0510	protein_coding	160	230	173	351	491	372
Gene_0511	protein_coding	40	10	28	2	12	263
Gene_0512	lncRNA	196	227	756	5254	162	453
Gene_0513	protein_coding	113	0	2	94	14	37
Gene_0514	protein_coding	840	327	672	707	146	306
Gene_0515	protein_coding	983	2355	1039	1828	1348	1811
