gene_name	gene_biotype	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
LOC128926955	pseudogene	877	791	1046	1861	608	1074
Gm40700	pseudogene	1320	374	3671	812	1849	1764
Eef1e1	protein_coding	1195	930	532	610	430	1040
Gm5166	protein_coding	87	86	193	84	54	121
A130078K24Rik	protein_coding	303	139	212	81	382	618
Gm8722	protein_coding	1395	1209	2131	805	1710	1325
D0Wsu1e	protein_coding	63	171	83	112	68	79
Gm7896	lncRNA	561	421	126	216	252	239
LOC128926000	lncRNA	906	770	908	694	920	712
LOC131297563	protein_coding	202	87	322	429	255	197
Mir7655	protein_coding	295	621	348	642	660	492
LOC128926034	protein_coding	1442	439	1324	650	1229	647
LOC131374317	protein_coding	110	123	39	65	77	67
LOC131379074	protein_coding	735	454	626	414	920	1268
Ly29	protein_coding	275	191	286	8	172	113
Gm47990	lncRNA	323	435	174	418	58	62
Gm46441	protein_coding	1651	739	653	640	1009	1760
LOC131295331	protein_coding	927	716	194	615	1431	731
Del(3)64H	protein_coding	505	344	397	735	1500	152
Gykl1	protein_coding	772	508	888	1238	662	1131
Gm18231	protein_coding	814	222	264	443	488	141
Pmv14	protein_coding	1942	1640	858	854	2249	2744
Gm53478	pseudogene	1183	1094	649	281	198	353
Gm15778	pseudogene	432	890	1190	951	944	927
Gypa	protein_coding	2953	1446	1050	2243	1149	737
Gtf2b	protein_coding	1193	1454	724	488	1185	1806
LOC131373714	pseudogene	275	596	669	1109	307	475
Gm40103	protein_coding	877	1185	3007	1587	1948	1263
LOC128927568	protein_coding	288	1363	368	913	590	554
Ngrn	pseudogene	156	143	118	166	143	133
Gm47342	lncRNA	703	1001	359	152	116	382
Gm26654	protein_coding	2245	2814	1638	1281	1310	1521
Mskt9	lncRNA	1946	1134	1602	2552	1765	1491
Gm53186	protein_coding	1086	498	1080	1483	614	595
Melm2	lncRNA	94	239	866	717	124	439
4930594O21Rik	protein_coding	499	1088	817	914	1557	356
Gm40364	protein_coding	210	173	56	339	292	140
Gm33061	protein_coding	652	3327	2659	2631	1023	857
Alas1	protein_coding	100	1336	2515	1028	3486	1108
LOC131378417	lncRNA	435	1043	307	249	518	791
LOC131388135	protein_coding	821	1337	726	544	3122	615
LOC131373022	lncRNA	208	688	1022	433	905	390
LOC131371401	protein_coding	200	203	57	145	167	111
Tyro3	pseudogene	3884	1459	3487	4341	3706	1198
Oxsr1	protein_coding	34	1779	372	345	598	495
Gm23422	protein_coding	2796	2562	2777	2032	2344	2080
LOC131376718	protein_coding	519	475	327	99	429	698
Apoo-ps	protein_coding	879	1414	809	1013	502	406
LOC128927953	lncRNA	981	682	852	355	395	539
LOC131387830	protein_coding	435	872	781	1358	889	924
Gm41361	protein_coding	612	1027	219	907	1287	460
LOC131387488	lncRNA	374	1190	363	125	369	405
Bod6	protein_coding	866	1612	438	797	611	284
Gm46304	protein_coding	113	123	138	173	97	225
Vmn2r84	protein_coding	1205	396	477	572	176	1418
4921520E09Rik	protein_coding	364	367	404	532	446	505
C79607	pseudogene	325	735	654	635	1519	290
Gm54188	protein_coding	359	2105	8364	4273	19503	23
Gm42258	protein_coding	910	187	603	509	478	585
D0Bac2	protein_coding	387	2092	1489	1819	57	91
Gm32282	protein_coding	1664	604	2165	95	340	5253
LOC131387461	protein_coding	427	841	937	445	1028	971
LOC131341334	protein_coding	798	455	459	378	594	850
LOC102633794	protein_coding	120	345	496	563	238	147
Tcp11	protein_coding	493	479	330	3696	1344	848
D17Brg198	protein_coding	2363	3806	1447	2796	3228	1142
Tmtc4	protein_coding	122	208	127	120	168	101
Wdfy2	protein_coding	1829	712	886	889	1388	854
Gm38733	protein_coding	320	28	286	102	401	170
Sema4d	protein_coding	473	987	241	181	385	454
LOC131390289	protein_coding	311	396	466	1601	1101	1844
LOC131380056	protein_coding	476	446	565	950	663	710
LOC128924195	lncRNA	408	197	278	277	134	121
LOC131340340	protein_coding	561	407	1051	1631	461	847
LOC131377541	lncRNA	528	271	983	769	652	170
LOC132409720	lncRNA	1613	1944	836	1063	1848	2104
Mir1981	pseudogene	720	777	419	220	281	5
LOC128927170	lncRNA	563	882	3151	1705	1520	514
Gm29792	protein_coding	354	537	179	485	315	354
Pafah1b3	protein_coding	817	441	2320	1549	338	2408
LOC131388291	protein_coding	913	372	786	749	372	173
Robo1	protein_coding	1811	1545	5998	5996	2767	263
LOC131374527	pseudogene	426	221	411	180	264	262
Skint7	lncRNA	782	465	480	1942	777	808
LOC131392404	protein_coding	1662	1181	1346	845	1506	1862
T(6;13)6Ad	protein_coding	1487	986	1915	548	916	2410
Gm22661	protein_coding	4584	89	1921	134	406	1326
LOC131337851	lncRNA	412	234	126	573	265	310
Or13p9-ps1	protein_coding	638	1033	523	487	209	519
Gm39585	protein_coding	1853	1233	431	2209	1302	1364
Fbxo46	protein_coding	963	1341	1497	588	678	535
Phf2	protein_coding	1750	677	982	1311	2416	1215
LOC131378259	protein_coding	153	59	52	112	106	182
LOC132442253	protein_coding	132	6	31	493	11	455
Nxf2	protein_coding	2522	553	2477	1712	110	5352
Plast3	protein_coding	1860	2075	1749	1709	2395	1048
Gm33287	lncRNA	132	315	234	615	836	975
Gm52813	protein_coding	2648	1486	1375	1684	698	1785
Gm25039	lncRNA	148	372	122	1502	441	249
LOC132440986	protein_coding	261	339	378	157	268	65
Tomm7	protein_coding	1385	576	205	1122	260	1874
Gm34296	protein_coding	1077	640	3533	1817	486	695
Adora1	pseudogene	1558	5137	115	1915	251	2368
Kank4	protein_coding	198	87	389	189	285	80
Gm38679	protein_coding	384	442	186	411	378	304
LOC132409425	protein_coding	200	258	276	251	430	1340
LOC128925802	protein_coding	542	25	540	1023	761	561
LOC131386154	protein_coding	33	39	91	88	44	177
Hdhd3	protein_coding	534	1467	915	1196	3056	765
Gm22246	protein_coding	616	196	550	447	3	369
LOC131388384	protein_coding	251	774	2792	1369	1018	722
LOC131379894	lncRNA	666	520	474	947	1962	2418
LOC131296136	protein_coding	446	570	356	686	463	477
BC004004	protein_coding	1440	281	2283	2046	1345	3883
Gm57525	protein_coding	0	16	0	1272	0	18372
D11Mit132	lncRNA	154	1129	1195	1202	2208	1288
Gm11970	protein_coding	475	166	87	728	347	679
Pard6b	protein_coding	614	414	445	528	733	973
1700034J04Rik	protein_coding	334	55	172	356	1740	650
LOC131372265	pseudogene	1294	1208	561	1089	739	1104
Sec14l4	protein_coding	2196	1843	2076	4543	4736	4093
LOC131340432	lncRNA	4404	2380	5208	4446	3389	1839
LOC132409517	protein_coding	290	379	2	397	353	18
Gm40254	protein_coding	2112	24	1587	5099	2378	347
Rbfox3	protein_coding	45	113	280	0	612	30
Gm15209	protein_coding	164	135	1371	2122	2318	2318
Gm39536	protein_coding	67	796	1010	435	180	169
Scpep1	protein_coding	72	340	257	194	231	85
5730411F24Rik	protein_coding	128	206	168	155	43	141
LOC132441431	protein_coding	252	658	953	171	346	530
Gm53741	pseudogene	646	1394	1285	1457	1096	766
LOC131391462	lncRNA	789	1463	1389	902	738	729
Uckl1	protein_coding	1612	1307	3481	1811	1386	1963
Gm41948	lncRNA	1066	2618	4270	361	1239	2889
LOC131295562	protein_coding	2308	1401	7737	6996	4254	1337
Gm19784	protein_coding	793	1031	898	946	1158	1442
Fars2	protein_coding	923	772	519	291	605	550
LOC131373211	protein_coding	9	1494	0	231	326	0
LOC131297179	protein_coding	402	989	2632	558	191	326
LOC128926151	protein_coding	163	133	209	76	333	339
Nrsn1	protein_coding	162	471	194	757	711	320
Ippk	protein_coding	5503	2922	138	1866	285	4236
Ttc39d	protein_coding	1204	2216	1362	440	1152	1050
Igh-Sa1	protein_coding	660	1257	1441	1149	1135	1072
LOC131375110	protein_coding	366	204	248	384	272	714
LOC131339469	pseudogene	951	1720	960	1249	593	622
BB319198	protein_coding	1208	141	751	882	306	295
Tbc1d23	protein_coding	1778	1017	4027	497	31	276
Acox1	protein_coding	724	1348	1069	806	823	1910
LOC132440595	protein_coding	1540	1660	1327	1822	1559	1717
Gm22253	protein_coding	1965	1926	23	85	722	559
LOC132408998	lncRNA	1109	1187	1469	1690	1668	1139
Gm11755	protein_coding	1953	1892	1290	2009	817	2135
Hbnr8	protein_coding	503	92	2339	649	1424	35
Or6c3	protein_coding	1543	4506	1998	1140	1245	2887
Gm46815	protein_coding	917	595	7	1313	2136	237
Gm32545	protein_coding	1087	2064	1276	798	1148	1345
LOC131388520	protein_coding	225	299	467	643	149	35
Pelo	protein_coding	4047	3975	2027	2744	2116	2723
Cldn34b3	pseudogene	939	1053	604	555	614	1044
LOC131341507	protein_coding	1178	1568	1261	1436	1346	1936
LOC131372164	protein_coding	576	505	789	829	552	336
LOC131387976	lncRNA	315	18	899	70	9889	1
LOC128927906	protein_coding	6806	2275	1394	824	4666	7899
DXMgc125	pseudogene	449	22	125	96	23	33
LOC131391037	lncRNA	1125	652	928	1242	1989	1195
LOC131375306	protein_coding	832	1377	1144	1372	4600	1733
Gm39615	lncRNA	32	571	201	58	37	67
LOC131297660	protein_coding	661	796	1605	460	711	957
AI182371	protein_coding	893	2003	522	765	601	1961
Gm6729	lncRNA	327	603	312	299	324	863
Gm18342	protein_coding	2907	1110	1418	3296	1802	2460
Gm4065	protein_coding	1856	1851	1732	567	2309	1171
Fam168b	protein_coding	993	633	1539	1919	2815	1270
LOC131387748	protein_coding	801	879	894	1413	1428	773
LOC131338743	protein_coding	375	259	251	516	185	437
Ppp2r2a	protein_coding	1190	1756	2864	3428	647	2172
Zfp24-ps	protein_coding	2450	336	1996	1237	1000	934
LOC128924710	protein_coding	360	586	1442	1761	2872	1058
Clul1-ps2	pseudogene	176	166	518	417	251	175
LOC131375461	protein_coding	4038	2848	3113	643	2141	1089
Gm41561	protein_coding	609	630	465	387	878	1260
LOC132444745	protein_coding	444	706	618	998	646	622
LOC131388164	protein_coding	495	107	360	493	619	2240
Gm53995	protein_coding	278	603	479	169	554	806
LOC131372710	protein_coding	1122	190	1922	735	663	690
Gm20362	lncRNA	1381	3058	5573	2956	1215	1215
Cfap46	protein_coding	619	889	748	384	457	88
Dennd2b	protein_coding	1239	834	1192	1461	2740	2903
Nnc1	protein_coding	424	448	608	433	491	543
LOC128925876	protein_coding	1535	836	928	1675	1812	1756
LOC131340940	protein_coding	595	471	355	595	954	421
LOC131376813	lncRNA	923	553	600	561	475	738
Gm41578	protein_coding	360	545	378	161	263	432
Gm31902	protein_coding	2014	208	34	4946	7	1915
D15Ertd489e	protein_coding	2159	429	764	2514	255	1498
LOC131392595	protein_coding	526	930	1242	113	123	157
LOC128925186	protein_coding	487	671	1007	368	2567	1168
Gm33088	protein_coding	164	78	27	93	59	40
Fmtq3	protein_coding	533	392	444	449	438	381
Gm16125	lncRNA	786	408	94	347	67	303
Slc9a6	pseudogene	199	1572	1868	434	1583	3415
LOC131389752	protein_coding	675	298	1222	928	644	670
Gm14379	protein_coding	386	183	236	111	317	269
Fina1	protein_coding	3157	4459	1245	3172	2955	2473
Tmem210	protein_coding	95	383	54	149	454	125
LOC132409086	protein_coding	963	60	2627	2262	773	908
Gm35271	pseudogene	1428	1857	297	733	952	841
Cst11	protein_coding	482	1063	1031	1051	813	1031
Gm10441	protein_coding	450	118	134	511	21	45
LOC132412575	protein_coding	229	374	446	407	271	154
LOC131376701	pseudogene	1	4	387	62	11	420
Gm29382	protein_coding	105	68	2	0	261	91
Atf6	protein_coding	409	1374	746	580	703	346
Gm14326	pseudogene	355	1005	560	741	600	282
Gm41772	pseudogene	1027	966	699	1238	274	887
Gm39185	protein_coding	343	1117	611	2924	620	953
LOC131387905	protein_coding	611	996	836	1215	529	828
LOC132443178	protein_coding	368	757	1036	639	724	770
Gm34131	protein_coding	1725	2586	2416	3281	2888	2399
Mif-ps3	protein_coding	230	278	281	220	256	164
LOC131379501	pseudogene	2825	6220	1343	7518	3360	4911
Gm29807	protein_coding	140	1129	460	936	481	35
LOC131376989	lncRNA	591	419	260	450	325	503
Gm53365	protein_coding	1660	2460	1521	1479	1101	1321
LOC131296089	lncRNA	512	901	1073	808	809	495
LOC131339849	pseudogene	1087	2120	1234	2819	1346	828
LOC128926855	protein_coding	887	1731	1485	1335	322	792
Gm40944	protein_coding	462	1453	649	1259	386	703
Wtmq6	protein_coding	835	1717	1216	542	584	780
Casq2	protein_coding	529	23	454	544	53	623
Gm2495	protein_coding	97	408	344	372	449	169
LOC131379378	protein_coding	1376	751	410	564	892	398
Mir154	protein_coding	350	410	418	583	678	259
Rngtt	lncRNA	1239	1907	1200	922	670	382
LOC131297101	protein_coding	218	847	343	76	385	2783
LOC114827936	protein_coding	335	53	53	5	34	81
Gm36785	protein_coding	674	583	1389	162	181	1042
Gm41383	lncRNA	2952	5055	2531	4003	4235	6071
Hdlq33	protein_coding	164	191	244	165	351	203
Gm57671	protein_coding	105	205	483	98	697	263
LOC128925489	protein_coding	328	524	1035	834	176	81
LOC132440477	pseudogene	790	253	435	2005	389	1113
Rbbp4	protein_coding	2120	1367	1015	1267	524	616
LOC131377494	lncRNA	488	475	428	605	450	589
E2f5	pseudogene	104	116	907	404	101	490
Malsu1	protein_coding	1179	680	332	211	1347	449
LOC128926704	protein_coding	540	1333	423	1055	665	988
LOC128926341	protein_coding	5011	606	642	448	692	1123
LOC131391538	protein_coding	769	1278	904	1172	1010	1890
LOC128927666	protein_coding	229	257	591	245	93	63
2610027F03Rik	protein_coding	192	282	367	432	192	678
LOC131389663	protein_coding	1912	789	1151	2457	3345	2307
Actb-ps1	pseudogene	569	794	323	1235	47	2864
Gm8565	protein_coding	296	472	332	235	31	175
Gm26205	protein_coding	729	555	390	721	261	572
Mrgprc3-ps	protein_coding	293	1169	970	663	576	1756
LOC132441304	protein_coding	206	354	668	649	781	620
Gm51973	protein_coding	187	288	576	319	823	472
Gm42038	pseudogene	173	1717	1040	415	612	293
LOC114827961	protein_coding	104	520	394	2371	71	2256
Neurog1	protein_coding	591	274	323	625	831	692
LOC131379003	protein_coding	117	518	936	936	700	324
LOC131375959	pseudogene	1417	395	582	2349	186	799
LOC132411309	protein_coding	1641	1916	964	2713	2067	2137
LOC132443290	protein_coding	1467	665	517	265	152	112
Apbb2	protein_coding	248	221	57	17	26	70
Gm28446	protein_coding	572	694	257	481	570	378
Gm13279	lncRNA	1035	1870	706	429	1432	386
Cyp39a1	protein_coding	807	1617	1796	1000	1152	1559
LOC131375309	protein_coding	2237	2852	2438	2341	2898	859
D14Mit31	pseudogene	64	326	204	258	68	149
Gm20235	protein_coding	710	980	455	980	548	819
LOC131385278	protein_coding	1509	96	992	6	129	235
Gm23008	protein_coding	244	296	290	254	382	277
Gm40211	lncRNA	601	836	813	1173	958	1029
Gm15032	protein_coding	1064	963	1042	354	316	206
LOC131297773	protein_coding	545	1537	217	800	615	1148
LOC131296055	protein_coding	554	1871	673	535	212	1161
Aal	protein_coding	910	742	280	818	516	245
Gm34823	protein_coding	992	1292	989	1414	854	1347
LOC132443088	lncRNA	449	249	371	117	77	135
LOC131387876	protein_coding	445	479	891	120	204	273
LOC132409280	pseudogene	752	1168	734	321	389	849
Kcnmb3	protein_coding	235	570	258	292	348	355
LOC128927942	protein_coding	16	42	25	129	505	721
LOC132445141	lncRNA	1	395	22	86	197	1187
Gm14877	protein_coding	400	1606	702	772	1790	1175
Gm4875	protein_coding	9	1211	55	456	509	1040
LOC131376559	protein_coding	191	371	297	758	480	254
Rb(9.12)10Tu	protein_coding	117	182	207	231	38	125
LOC132444460	protein_coding	207	194	505	190	566	356
Gm24299	pseudogene	451	496	448	371	669	292
Cet1	pseudogene	3931	3293	2150	139	4075	7200
1700021J08Rik	protein_coding	506	644	1242	89	145	294
LOC128924834	protein_coding	292	144	133	358	39	254
AA589385	protein_coding	2674	1648	2448	5232	2492	1608
Gm38946	protein_coding	2256	2091	1831	1052	1334	2485
LOC132409645	protein_coding	1142	511	1774	459	582	1162
LOC128925890	protein_coding	1753	2126	268	2741	2329	1127
LOC128925355	lncRNA	1758	420	2088	2948	1543	1203
Rasl3	protein_coding	51	210	447	93	204	614
LOC131386003	pseudogene	891	3142	339	1266	618	2871
Gm41282	protein_coding	7	13	64	21	12	24
Gm53597	protein_coding	427	886	255	1647	1064	188
Chchd10	protein_coding	549	459	487	391	436	279
Gm29825	protein_coding	32	330	647	194	13	209
LOC131390331	protein_coding	3703	1211	3057	1292	1781	3333
AI661323	protein_coding	571	1608	353	1085	616	717
Xmmv58	protein_coding	1027	575	428	2502	1038	1364
Gm24905	protein_coding	3786	2670	301	841	2297	766
Acer1	protein_coding	401	433	477	1042	893	982
Gm17070	protein_coding	212	86	31	56	115	102
Gm8754	lncRNA	266	524	995	632	1098	314
Gm30484	protein_coding	551	504	662	248	638	234
Gm20809	protein_coding	1455	770	1111	1884	514	159
LOC132442510	protein_coding	265	2992	1260	315	1109	1612
Gm36827	protein_coding	564	2121	513	273	321	420
LOC131296650	pseudogene	1683	3469	1287	8128	3160	617
Prl7c1	lncRNA	1030	2454	2239	637	1528	1020
LOC131385894	protein_coding	50	660	86	119	1152	939
Actg-ps1	protein_coding	25	18	13	20	35	15
LOC131296096	protein_coding	187	263	273	274	140	195
Tcra-V11.3	protein_coding	919	1586	1472	1918	940	4111
LOC128925335	protein_coding	19	307	20214	309	5603	7
Gngt1	protein_coding	677	1053	564	422	1672	944
Gm29960	protein_coding	115	465	139	8	92	30
LOC131338468	protein_coding	2670	1626	1684	921	3976	733
D1Bwg0348e	protein_coding	2337	4082	2458	2741	3312	2398
Scamp3	protein_coding	2109	1444	622	3555	2148	4915
Gm34071	pseudogene	826	685	876	1659	3109	349
D5Buc48	protein_coding	856	1421	1046	1847	1448	999
Or2v1	protein_coding	0	285	95	5	76	96
Btg3	protein_coding	773	1559	502	750	271	1286
Gm52397	protein_coding	501	375	327	346	680	134
LOC131392001	protein_coding	1345	1478	750	5556	1757	4081
Gm25765	protein_coding	275	194	141	147	147	119
LOC132408629	pseudogene	688	313	867	419	367	956
LOC131296890	protein_coding	332	1914	578	1163	992	786
Gm32635	lncRNA	331	419	528	782	1433	852
LOC131340544	protein_coding	594	1042	382	418	1480	1241
LOC131371841	protein_coding	245	685	584	691	594	478
Il12a	protein_coding	1181	1517	0	0	51	0
D4Mit139	lncRNA	842	1512	807	442	770	770
LOC131376750	protein_coding	607	1011	1820	1541	2051	1248
Gm51961	protein_coding	455	992	857	1530	657	910
LOC131295297	protein_coding	1811	809	4693	899	4505	59
Rabgef1	protein_coding	758	602	626	1088	301	1217
LOC131392333	protein_coding	613	1019	757	768	549	293
LOC132440695	protein_coding	848	1042	835	5227	308	663
tclTuw28	protein_coding	704	656	1283	1147	627	1600
LOC131374973	protein_coding	360	916	634	772	287	385
LOC132412512	protein_coding	1037	472	83	146	651	361
LOC131297096	protein_coding	823	1215	817	859	61	1208
Gm33118	lncRNA	1330	2036	2938	697	1626	1609
LOC114827964	lncRNA	573	516	639	623	662	552
Iah1	protein_coding	898	299	291	500	271	451
Gm3213	protein_coding	1254	1712	1255	1403	2559	611
Gm31840	lncRNA	609	515	254	60	302	292
LOC131391250	protein_coding	1141	527	3261	1914	816	2152
LOC131341795	protein_coding	5	300	162	3115	20	216
Gm36618	protein_coding	3323	1533	4390	2235	3105	1204
Gm52089	protein_coding	833	968	1361	1149	272	1571
LOC132444623	protein_coding	1253	1329	1314	1042	3744	2789
1700019H22Rik	protein_coding	4125	4599	2964	6661	4170	4576
LOC132412250	lncRNA	24	149	151	25	48	173
In(6)47Rk	protein_coding	94	248	134	434	235	552
Gm41222	protein_coding	388	1018	2727	804	840	547
Gm2164	pseudogene	176	921	2328	4069	1515	112
Krt1	pseudogene	489	843	268	346	937	1428
B3galnt1	protein_coding	299	332	141	157	184	248
Gm17912	protein_coding	99	2097	322	103	1247	646
Fas	protein_coding	980	284	516	3245	2086	1243
Gm5274	pseudogene	622	444	493	778	725	378
Gm25867	protein_coding	718	562	174	242	448	511
H2-K1	lncRNA	628	510	1190	880	1183	238
Ighv10-3	protein_coding	1072	572	1305	273	1001	842
Cep95	protein_coding	513	743	80	232	440	677
Gm53336	lncRNA	676	886	4862	531	2214	1315
A030001O10Rik	protein_coding	1335	953	501	1371	717	459
LOC132443131	lncRNA	903	2558	419	986	904	1438
Rpl30-ps3	protein_coding	291	0	675	17	680	0
LOC132441088	lncRNA	1818	2077	3118	7397	7178	12860
Iap3rc15	protein_coding	78	110	266	98	140	121
LOC131375695	protein_coding	147	229	52	173	464	306
Gm15048	protein_coding	238	193	609	778	614	478
LOC128924209	pseudogene	430	171	568	415	254	686
Gm38773	protein_coding	1645	748	6085	3759	14	1201
Mchm2	lncRNA	308	615	303	406	86	301
n-TGtcc1	protein_coding	94	247	497	217	137	687
Gm29816	protein_coding	1219	946	796	1703	867	1296
Rps6kl1	protein_coding	702	322	880	386	1128	826
LOC110120467	lncRNA	724	661	821	811	735	1258
LOC132410678	protein_coding	1907	1748	2180	302	807	1437
Gm49415	protein_coding	1197	2299	779	1410	623	895
AB124611	protein_coding	531	1039	651	436	656	677
Gm40915	protein_coding	83	997	523	476	229	501
Zbed5	protein_coding	375	812	1750	840	1540	698
Rpusd3	protein_coding	620	558	358	247	257	160
DXIum1	lncRNA	397	56	747	88	734	408
Ctnnb1	protein_coding	2993	2470	2356	1713	1585	1535
Gm16553	lncRNA	1181	2310	484	6097	3696	2525
Gm40308	protein_coding	2689	5607	3283	3336	3234	1925
LOC131390141	protein_coding	749	626	517	777	786	43
D6Mit113	pseudogene	950	2201	1168	1566	1262	1561
LOC131385068	protein_coding	160	230	173	351	491	372
Pilra	protein_coding	40	10	28	2	12	263
LOC131338925	lncRNA	196	227	756	5254	162	453
LOC131376049	protein_coding	113	0	2	94	14	37
LOC131380467	protein_coding	840	327	672	707	146	306
LOC132444076	protein_coding	983	2355	1039	1828	1348	1811
Gm34626	protein_coding	79	370	154	90	34	56
Cnih2	protein_coding	2283	1624	397	661	1300	1041
Gm45549	protein_coding	1063	1822	1439	1194	1766	811
Gm46886	protein_coding	336	882	428	1581	3028	459
D13Ertd94e	protein_coding	402	349	957	910	763	595
LOC131338658	lncRNA	0	37	0	68	7437	4
